position,name,author,last_week,peek_poss,weeks
1,As It Was,Harry Styles,1,1,2
2,First Class,Jack Harlow,-,2,1
3,Heat Waves,Glass Animals,2,1,67
4,Stay,The Kid LAROI & Justin Bieber,3,1,40
5,Enemy,Imagine Dragons X JID,4,3,24
6,Cold Heart (PNAU Remix),Elton John & Dua Lipa,6,3,35
7,Bam Bam,Camila Cabello Featuring Ed Sheeran,13,7,6
8,abcdefu,GAYLE,5,1,22
9,Envolver,Anitta,7,2,6
10,Shivers,Ed Sheeran,8,3,31
11,Save Your Tears,The Weeknd & Ariana Grande,11,1,67
12,Bad Habits,Ed Sheeran,10,1,42
13,Industry Baby,Lil Nas X & Jack Harlow,14,2,38
14,MAMIII,Becky G X Karol G,12,4,9
15,Love Dive,IVE,177,15,2
16,Levitating,Dua Lipa,16,2,80
17,Ghost,Justin Bieber,18,16,30
18,Easy On Me,Adele,17,1,27
19,Pepas,Farruko,24,7,39
20,The Motto,Tiesto & Ava Max,20,17,23
21,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",15,1,16
22,Desesperados,Rauw Alejandro & Chencho Corleone,21,13,17
23,Blinding Lights,The Weeknd,23,2,84
24,Good 4 U,Olivia Rodrigo,26,1,48
25,Woman,Doja Cat,28,11,39
26,Right On,Lil Baby,-,26,1
27,In A Minute,Lil Baby,-,27,1
28,Where Are You Now,Lost Frequencies & Calum Scott,27,22,31
29,Una Noche En Medellin,Cris Mj,35,29,6
30,Middle Of The Night,Elley Duhe,30,26,13
31,X Ultima Vez,Daddy Yankee & Bad Bunny,37,23,3
32,Still Life,BIGBANG,9,9,2
33,Light Switch,Charlie Puth,36,21,12
34,Thats What I Want,Lil Nas X,31,4,30
35,Happier Than Ever,Billie Eilish,29,6,37
36,When You're Gone,Shawn Mendes,19,19,2
37,Fuera del Mercado,Danny Ocean,45,37,3
38,Love Nwantiti (Ah Ah Ah),CKay,34,2,31
39,Plan A,Paulo Londra,22,8,4
40,Big Energy,Latto,32,32,8
41,Boyfriend,Dove Cameron,33,17,9
42,My Universe,Coldplay x BTS,38,1,29
43,Kiss Me More,Doja Cat Featuring SZA,40,3,53
44,Infinity,Jaymes Young,41,23,20
45,Butter,BTS,39,1,47
46,Another Love,Tom Odell,43,37,50
47,Super Gremlin,Kodak Black,42,16,20
48,In My Head,Lil Tjay,25,25,2
49,Perfect,Ed Sheeran,47,30,84
50,Psychofreak,Camila Cabello Featuring WILLOW,-,50,1
51,Drivers License,Olivia Rodrigo,44,1,66
52,Watermelon Sugar,Harry Styles,49,9,84
53,Do It To It,Acraze Featuring Cherish,46,15,24
54,Traitor,Olivia Rodrigo,48,7,47
55,Nail Tech,Jack Harlow,107,23,8
56,Bones,Imagine Dragons,59,45,5
57,Dynamite,BTS,53,1,84
58,Need To Know,Doja Cat,50,6,44
59,She's All I Wanna Be,Tate McRae,51,31,10
60,Peru,Fireboy DML & Ed Sheeran,65,34,16
61,Believer,Imagine Dragons,64,52,84
62,Dandelions,Ruth B.,57,51,13
63,Yonaguni,Bad Bunny,60,3,45
64,Sweater Weather,The Neighbourhood,58,52,81
65,Shape Of You,Ed Sheeran,66,55,84
66,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,61,41,84
67,Wait A Minute!,Willow Smith,82,67,4
68,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,56,1,56
69,Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",62,12,28
70,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),55,2,58
71,Numb Little Bug,Em Beihold,63,40,11
72,Sweetest Pie,Megan Thee Stallion & Dua Lipa,54,12,5
73,Dance Monkey,Tones And I,73,16,84
74,Nobody Like U,4*TOWN (From Disney And Pixar's Turning Red),52,37,4
75,Yellow,Coldplay,88,75,53
76,What Happened To Virgil,Lil Durk Featuring Gunna,87,35,5
77,Dakiti,Bad Bunny & Jhay Cortez,74,1,76
78,Deja Vu,Olivia Rodrigo,79,3,54
79,Without Me,Eminem,76,39,27
80,Someone You Loved,Lewis Capaldi,80,24,84
81,Montero (Call Me By Your Name),Lil Nas X,78,1,55
82,Cool For The Summer,Demi Lovato,71,58,4
83,Baby Shark,Pinkfong,75,38,83
84,Surface Pressure,Jessica Darrow,67,9,16
85,Tom's Diner,AnnenMayKantereit & Giant Rooks,69,66,5
86,Tomboy,(G)I-DLE,77,58,4
87,Starlight,Dave,70,58,6
88,Jordan,Ryan Castro,94,88,6
89,Sentadona (Ai Calica),"MC Frog, Davi Kneip E DJ Gabriel Do Borel",83,54,4
90,Tacones Rojos,Sebastian Yatra,84,72,19
91,Love Tonight,Shouse,92,20,42
92,Fingers Crossed,Lauren Spencer-Smith,81,13,15
93,Chance,Paulo Londra,-,93,1
94,Don't Start Now,Dua Lipa,90,30,84
95,Feel My Rhythm,Red Velvet,68,36,4
96,That's Hilarious,Charlie Puth,-,96,1
97,Still D.R.E.,Dr. Dre Featuring Snoop Dogg,91,16,10
98,Soy El Unico,Yahritza y Su Esencia,72,29,3
99,To The Moon!,JNR CHOI & Sam Tompkins,89,64,14
100,Handsomer,Russ Featuring Ktlyn,-,57,5
101,Astronaut In The Ocean,Masked Wolf,98,3,64
102,Something Just Like This,The Chainsmokers & Coldplay,103,102,67
103,Get Lucky,Daft Punk Featuring Pharrell Williams,132,103,7
104,Pushin P,Gunna & Future Featuring Young Thug,86,10,14
105,Chale!,Eden Munoz,93,67,6
106,I Love You So,The Walters,96,55,26
107,Beggin',Maneskin,100,3,45
108,Smells Like Teen Spirit,Nirvana,102,92,65
109,Lose Yourself,Eminem,97,25,10
110,Knife Talk,Drake Featuring 21 Savage & Project Pat,101,6,32
111,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",173,17,66
112,Bohemian Rhapsody,Queen,112,97,80
113,Counting Stars,OneRepublic,110,106,59
114,Shallow,Lady Gaga & Bradley Cooper,106,59,84
115,Lost,Frank Ocean,99,43,13
116,Gangsta's Paradise,Coolio Featuring L.V.,113,99,41
117,The Real Slim Shady,Eminem,109,59,17
118,You Right,Doja Cat & The Weeknd,104,12,42
119,Unstoppable,Sia,120,109,9
120,No Role Modelz,J. Cole,114,114,43
121,Out Of Time,The Weeknd,-,15,5
122,Pantysito,"Alejo, Feid & ROBI",135,122,4
123,Mood,24kGoldn Featuring iann dior,116,2,84
124,Circles,Post Malone,115,49,84
125,Oh My God,Adele,105,3,21
126,Bad Guy,Billie Eilish,118,54,84
127,Comedy,Gen Hoshino,-,127,1
128,Dreams,Fleetwood Mac,130,10,79
129,Take Me To Church,Hozier,128,123,66
130,London,BIA Featuring J. Cole,-,130,1
131,Yo Voy,Zion & Lennox Featuring Daddy Yankee,121,119,7
132,Something In The Way,Nirvana,85,23,6
133,Closer,The Chainsmokers Featuring Halsey,125,100,77
134,505,Arctic Monkeys,131,131,11
135,In Da Club,50 Cent,117,44,9
136,Dos Oruguitas,Sebastian Yatra,95,26,15
137,Medallo,"Blessd, Justin Quiles & Lenny Tavarez",122,80,20
138,There's Nothing Holdin' Me Back,Shawn Mendes,141,138,13
139,La Cancion,J Balvin & Bad Bunny,127,127,11
140,Lovely,Billie Eilish & Khalid,126,70,84
141,'Til You Can't,Cody Johnson,188,141,9
142,All Too Well (Taylor's Version),Taylor Swift,108,1,22
143,Todo de Ti,Rauw Alejandro,139,3,47
144,Riptide,Vance Joy,145,143,39
145,One Right Now,Post Malone & The Weeknd,133,9,23
146,Softcore,The Neighbourhood,123,65,14
147,Locked Out Of Heaven,Bruno Mars,137,116,15
148,Mr. Brightside,The Killers,143,115,42
149,Freaky Deaky,Tyga X Doja Cat,153,37,7
150,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,150,70,76
151,Vampiro,"Matue, WIU & Teto",-,151,1
152,La Fama,Rosalia Featuring The Weeknd,154,34,15
153,Moth To A Flame,Swedish House Mafia & The Weeknd,142,10,25
154,Hotel California,Eagles,148,144,68
155,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,146,21,32
156,Permission To Dance,BTS,152,1,40
157,AA,Walker Hayes,-,125,3
158,Where Did You Go?,Jax Jones Featuring MNEK,168,158,3
159,Volvi,Aventura x Bad Bunny,147,11,37
160,Starboy,The Weeknd Featuring Daft Punk,158,52,43
161,Adore You,Harry Styles,144,68,43
162,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,159,114,72
163,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",119,20,15
164,La Santa,Bad Bunny X Daddy Yankee,151,151,9
165,Hey Hey Rise Up,Pink Floyd Featuring Andriy Khlyvnyuk,-,165,1
166,Sigue,J Balvin & Ed Sheeran,111,52,3
167,Toxic,BoyWithUke,165,60,24
168,Crazy What Love Can Do,David Guetta & Becky Hill & Ella Henderson,-,168,1
169,Thunder,Imagine Dragons,171,169,23
170,Sweet Child O' Mine,Guns N' Roses,161,154,53
171,Wake Me Up!,Avicii,167,154,25
172,Over,Lucky Daye,134,109,4
173,Maniac,Stray Kids,124,21,4
174,Mon Amour,zzoilo,164,73,23
175,Fancy Like,Walker Hayes,176,25,43
176,Thunderstruck,AC/DC,175,167,46
177,Broadway Girls,Lil Durk Featuring Morgan Wallen,162,32,17
178,Take On Me,a-ha,181,139,35
179,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,194,148,7
180,When I Was Your Man,Bruno Mars,157,157,2
181,Demasiadas Mujeres,C. Tangana,199,181,2
182,Uptown Funk!,Mark Ronson Featuring Bruno Mars,197,133,12
183,The Nights,Avicii,-,168,14
184,Senorita,Shawn Mendes & Camila Cabello,187,67,71
185,Get Into It (Yuh),Doja Cat,170,41,36
186,All Of Me,John Legend,179,97,78
187,Don't Stop Believin',Journey,186,125,71
188,Payphone,Maroon 5 Featuring Wiz Khalifa,-,188,1
189,Cayo La Noche,"Quevedo, El Ima, Cruz Cafune, Bejo, La Pantera, Juseph & Abhir Hathi",172,145,8
190,Blank Space,Taylor Swift,-,157,8
191,Thinking Out Loud,Ed Sheeran,183,103,70
192,Billie Jean,Michael Jackson,-,137,17
193,Ya No Somos Ni Seremos,Christian Nodal,174,36,8
194,Say You Won't Let Go,James Arthur,191,96,74
195,Streets,Doja Cat,182,8,64
196,Sacrifice,The Weeknd,163,2,14
197,Down Under,Luude Featuring Colin Hay,-,105,11
198,Every Breath You Take,The Police,192,179,9
199,Cheap Thrills,Sia Featuring Sean Paul,-,170,10
200,Mujeriego,Ryan Castro,190,125,11
